FlyerData[B2B_Discount_Percentage],FlyerData[B2B_Savings_Amount],FlyerData[Consumer_Discount_Percentage],FlyerData[Consumer_Savings_Amount],FlyerData[Deal_Badge],FlyerData[Deal_Rating],FlyerData[Price_Display],FlyerData[Savings_Display],FlyerData[Total_B2B_Savings],FlyerData[Avg_B2B_Discount],FlyerData[Avg_Savings_Per_Tire],FlyerData[Best_Deals_Count],FlyerData[Total_Items_Available],FlyerData[OnSale],FlyerData[Item],FlyerData[Model],FlyerData[SLP],FlyerData[Net],FlyerData[SalePrice],FlyerData[AvailableQuantity],FlyerData[Hot_Deals_Count],FlyerData[Brand_Logo_URL],FlyerData[Manufacturer],FlyerData[Size],FlyerData[StrippedSize],FlyerData[TypeDescription],FlyerData[IsWinterTire]
15,34,50,195,💵 ON SALE,2,$197 (reg $231),Save $34 per tire!,34,15,34,0,1,Yes,15508770000,PureContact LS,392,231,197,1,0,https://1000logos.net/wp-content/uploads/2022/11/Continental-Logo.png,CONTINENTAL,235/50R18,2355018,Passenger,False
22,40,55,179,⭐ GOOD DEAL,3,$145 (reg $185),Save $40 per tire!,40,22,40,0,1,Yes,15572660000,ExtremeContact DWS06 PLUS,324,185,145,1,0,https://1000logos.net/wp-content/uploads/2022/11/Continental-Logo.png,CONTINENTAL,205/55ZR16,2055516,Passenger,False
-2,-4,0,-187,,1,$187,,-4,-2,-4,0,1,Yes,110140628,ADVAN SPORT A/S+,0,183,187,1,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,215/45R18,2154518,Passenger,False
38,115,48,170,💰 GREAT DEAL,4,$188 (reg $303),Save $115 per tire!,115,38,115,1,1,Yes,34968,PREMIER LTX,358,303,188,1,0,https://michelinmedia.com/site/user/images/Michelin_Corporate_Logo___color.jpg,MICHELIN,235/70R16,2357016,Passenger,False
21,52,36,108,⭐ GOOD DEAL,3,$193 (reg $245),Save $52 per tire!,52,21,52,0,1,Yes,22058,PILOT SPORT A/S 4,301,245,193,1,0,https://michelinmedia.com/site/user/images/Michelin_Corporate_Logo___color.jpg,MICHELIN,225/50ZR18/XL,2255018,Passenger,False
27,74,47,177,⭐ GOOD DEAL,3,$198 (reg $272),Save $74 per tire!,74,27,74,0,1,Yes,2184973,AT51,375,272,198,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Kumho_Tire_logo_%282023%29.svg/2560px-Kumho_Tire_logo_%282023%29.svg.png,KUMHO,LT265/70R16,2657016,ALL WEATHER LT,False
31,111,40,168,💰 GREAT DEAL,4,$250 (reg $361),Save $111 per tire!,111,31,111,1,1,Yes,42604,AGILIS CROSSCLIMATE,418,361,250,1,0,https://michelinmedia.com/site/user/images/Michelin_Corporate_Logo___color.jpg,MICHELIN,LT245/70R17/E,2457017,ALL WEATHER PASSENGER,False
21,102,0,-390,⭐ GOOD DEAL,3,$390 (reg $492),Save $102 per tire!,102,21,102,0,1,Yes,110116036,GEOLANDAR X-AT,0,492,390,1,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,35X12.50R20,35125020,Passenger,False
16,63,32,152,💵 ON SALE,2,$325 (reg $389),Save $63 per tire!,63,16,63,0,1,Yes,44488,PILOT SPORT A/S 4,477,389,325,1,0,https://michelinmedia.com/site/user/images/Michelin_Corporate_Logo___color.jpg,MICHELIN,275/35ZR19/XL,2753519,Passenger,False
18,42,37,114,💵 ON SALE,2,$195 (reg $237),Save $42 per tire!,42,18,42,0,1,Yes,1015251,K120,309,237,195,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hankook_Logo_2024.svg/2560px-Hankook_Logo_2024.svg.png,HANKOOK,255/35ZR18,2553518,Performance,False
27,84,52,247,⭐ GOOD DEAL,3,$231 (reg $315),Save $84 per tire!,84,27,84,0,1,Yes,1020540,K127,478,315,231,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hankook_Logo_2024.svg/2560px-Hankook_Logo_2024.svg.png,HANKOOK,235/40ZR19Y,2354019,Passenger,False
34,136,50,263,💰 GREAT DEAL,4,$261 (reg $397),Save $136 per tire!,136,34,136,1,1,Yes,1022615,K127,524,397,261,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hankook_Logo_2024.svg/2560px-Hankook_Logo_2024.svg.png,HANKOOK,265/35R19W XL,2653519,Performance,False
12,21,0,-163,💵 ON SALE,2,$163 (reg $184),Save $21 per tire!,21,12,21,0,1,Yes,110132729,AVID ASCEND GT,0,184,163,1,0,https://cdn.worldvectorlogo.com/logos/yokohama-logo.svg,Yokohama,235/60R17,2356017,Passenger,False
27,55,47,131,⭐ GOOD DEAL,3,$146 (reg $201),Save $55 per tire!,55,27,55,0,1,Yes,2208343,AT51,278,201,146,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Kumho_Tire_logo_%282023%29.svg/2560px-Kumho_Tire_logo_%282023%29.svg.png,KUMHO,245/70R16,2457016,ALL WEATHER LT,False
